#Field_number xki_field_center eta_field_center Mvlim alpha sigma
137 -6.295249999999999 -4.906499999999999 -5.408191647992549 -0.6468529064867397 0.3578917093513571
138 4.6267499999999995 -4.9955 -5.282112092284167 -0.7220108715806701 0.4065010048175059
139 -4.2855 -4.98475 -5.420470291936976 -0.6555691944335742 0.38345316921606465
140 -5.29075 -4.922 -5.483589640900706 -0.6786345773563071 0.3850565289029813
141 3.63875 -4.99625 -5.611467342201761 -0.7249726788828215 0.37947278500569037
142 -3.2842499999999997 -4.99625 -5.5923877881015 -0.7129316149663787 0.2849329896221452
143 2.6470000000000002 -4.99675 -5.563662335964147 -0.7926878139155961 0.4043105044054953
144 -2.2952500000000002 -4.99575 -5.3894303951603915 -0.5940248306889052 0.36069082415153386
145 1.6595 -4.9967500000000005 -5.763571294249008 -0.9096517617898086 0.4215630636081505
146 -1.3065 -4.99625 -5.456126021680913 -0.5960158721069929 0.40369336988663723
147 0.6699999999999999 -4.99575 -5.600206509287069 -0.9074029592683385 0.4148200645655825
148 -0.31725000000000003 -4.9955 -5.527854263076655 -0.8348651771140152 0.3453280344065993
149 10.14075 -3.90075 -5.377484927206624 -0.6929811860904511 0.3798961627066867
150 8.49425 -4.05225 -5.515048121479479 -0.7158762053961734 0.34352709694268957
151 -9.43475 -3.9364999999999997 -5.408090754326695 -0.5620919230287396 0.29696968218842734
152 9.48925 -3.9215 -5.349081236433278 -0.7131819047070295 0.31303239043604675
153 7.5009999999999994 -4.047000000000001 -5.34711498969864 -0.6174391310912803 0.3597258347114446
154 -8.43875 -3.94275 -5.475209236985134 -0.6027145475946097 0.3888041546382813
155 6.5045 -4.04 -5.3425761672077465 -0.6795785682448688 0.33176834804786703
156 -7.44 -3.9495000000000005 -5.5909022952151535 -0.6762281500478917 0.33774272487709295
157 5.507 -4.03325 -5.492238067589009 -0.7794161050542266 0.3906966061402516
158 -6.425750000000001 -3.9457500000000003 -5.589865453306601 -0.6673209497469794 0.3670210226519857
159 -5.429499999999999 -3.9530000000000003 -5.5751442826707605 -0.6060666002284665 0.31132757765587765
160 4.4755 -3.9955 -5.31895303591783 -0.6611074773552524 0.41840366016758707
161 -4.448499999999999 -3.9707500000000007 -5.584652918880865 -0.6488051730933551 0.3296908123408543
162 3.48725 -3.99475 -5.484145675354238 -0.646280590689298 0.32322310604208093
163 -3.45275 -3.9770000000000003 -5.507554401052745 -0.6197744292161206 0.3280509665287037
164 2.4995000000000003 -3.9955 -5.719177181598381 -0.8893214602199858 0.3840686711876538
165 -2.43225 -3.9827500000000002 -5.561267993222646 -0.6941820943207209 0.34130306485660566
166 1.5095 -3.9955 -6.2763503131467235 -0.9971431725313082 0.3893347147871268
167 -1.45675 -3.9955 -5.788934580337951 -0.7902062330063758 0.29379527650389864
168 0.5215 -3.9955 -5.89270815841095 -0.9982694746682836 0.4009786155148467
169 -0.46725 -3.995 -5.540200739638481 -0.7958230921554269 0.5299449580273822
170 10.068249999999999 -2.987 -5.3878679758884 -0.7003494896503732 0.3250269015985524
171 8.056999999999999 -3.1260000000000003 -5.260367274516989 -0.5678148677181566 0.3081909109637873
172 -9.580749999999998 -2.9354999999999998 -5.580787239376901 -0.5972593013474073 0.3263955850136254
173 9.06675 -2.9535 -5.38083253410915 -0.6698640730659801 0.2811479540805654
174 -8.588750000000001 -2.942 -5.611392779181652 -0.6085707690856637 0.3528966085808077
175 7.0584999999999996 -3.044 -5.426408013573787 -0.683274477668276 0.4311283929033564
176 -7.591749999999999 -2.9469999999999996 -5.432574225457629 -0.5803298061955532 0.3497246167479267
177 6.06175 -3.0370000000000004 -5.356550361236172 -0.604121650624624 0.3643586695826279
178 -6.59725 -2.9545 -5.598665691762582 -0.6390925999202357 0.3587781076428214
179 5.0665 -3.0332500000000002 -5.588810402778602 -0.7559929474295958 0.46611791556025395
180 -5.6005 -2.9612499999999997 -5.704927235702211 -0.6441949997529081 0.3721904456989364
181 4.0695 -3.0240000000000005 -5.580537874900936 -0.7057332671673878 0.3160472786820975
182 -4.6025 -2.96675 -5.5190334801481535 -0.6069201001978765 0.2962742818844036
183 -2.678 -3.03 -5.805887507180627 -0.7661385846773379 0.3800420214553476
184 -0.75075 -3.0654999999999997 -5.692461237185717 -0.9977252598657148 0.5781127628988185
185 -1.70825 -3.0495 -5.80605241883222 -0.6712283487168227 0.33847406144812425
186 0.21599999999999997 -3.065 -6.133883505827971 -0.9964619462037777 0.47481813313423205
187 3.07025 -2.9987500000000002 -5.595379596298133 -0.7129513318313592 0.3998170673030255
188 1.14225 -3.0545 -6.4396800795547895 -0.9996442436027433 0.6149674128028891
189 -3.6079999999999997 -2.9722500000000003 -5.754333471934923 -0.7400034835762496 0.3621588540379652
190 2.0774999999999997 -3.01025 -6.059046190498938 -0.9913107479072903 0.4213540807879152
191 9.962 -1.9745 -5.5133029171788115 -0.665433745800074 0.24089161613506252
192 -9.734 -1.9302500000000002 -5.670660439056095 -0.5614447152354223 0.2856348838425544
193 7.957749999999999 -2.11225 -5.3239065681169 -0.5913116473181246 0.3210028265584295
194 8.970749999999999 -1.95175 -5.268137379711669 -0.566382365483931 0.27277029128350383
195 -8.738999999999999 -1.937 -5.633661986716276 -0.5594997303854728 0.36475608482305033
196 6.9975 -2.044 -5.354135685436518 -0.6055673994185091 0.24995081230744848
197 -7.7445 -1.943 -5.501822726366925 -0.5393849063114211 0.3546993010474508
198 6.009 -2.0445 -5.26166963965642 -0.567510700729001 0.35402483444733035
199 -6.74925 -1.9495 -5.673179590149011 -0.6178303647379252 0.36606037434506666
200 5.15425 -2.0337500000000004 -5.6030273072382055 -0.6560924918415865 0.3731077224197544
201 -5.75225 -1.9562499999999998 -5.860369025755234 -0.6779206106472365 0.29774013001749067
202 4.210000000000001 -2.026 -5.615427170622342 -0.6786598041287719 0.2006033541254159
203 -4.75425 -1.964 -5.603210861240837 -0.5853750259501096 0.341253758734398
204 3.21475 -2.0192500000000004 -5.643243546513638 -0.7426661955188579 0.3598712416108922
